title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description
Supreme Team;2022;1 Season;Genres:;['Crime', 'Documentaries'];July 8, 2022;;The real story of the notorious Queens, NY crime syndicate known as the Supreme Team, as told by its two leaders, Kenneth ?Supreme? McGriff and Gerald ?Prince? Miller. Through the voices of these two infamous entrepreneurs as well as hip hop legend LL Cool J, New York City Mayor Eric Adams, journalist Joy Reid, singer Ashanti, producer Irv Gotti and others in the local community, viewers are given access beyond the headlines to examine the broader cultural dynamics and the impact that this small group had on hip hop and society at large.
The Fatal Flaw -- A Special Edition of 20/20;2022;1 Season;Genres:;['News'];July 8, 2022;;Firsthand accounts from authorities and journalists illuminating four disturbing events as they describe the twists and turns of the investigations and the breakthrough moments that led investigators and police to each killer's doorstep.
UEFA Women's EURO 2022;2022;;Genres:;['Sports'];July 8, 2022;;
Ultrasound;2022;104 min;Genres:;['Science Fiction'];July 7, 2022;;After his car breaks down on a rainy night, Glen (Vincent Kartheiser, MAD MEN) spends one hell of an odd night with a married couple, setting into motion a web of deception and manipulation that tests the foundations of reality.
Maggie;2022;TV-14;1 Season;['Comedy', 'Sitcom'];July 6, 2022;;A psychic struggles with the future when she begins to see glimpses of her own destiny.
Black Ink Crew;2013;TV-14;3 Seasons;['Black Stories', 'Reality'];July 5, 2022;4.4/10;"In the heart of Harlem, Black Ink is the only black-owned and operated tattoo parlor as well as one of the most famous in the country. Black Ink owner, and noted hardass, Ceaser employs some close, and very vocal friends that make up the ""Crew."""
Ginger's Tale;2020;TV-PG;92 min;['Adventure', 'Kids'];July 5, 2022;;Ginger must save her friend Potter from both the evil Queen and the powerful force of an ancient artifact.
Asking for It;2022;R;101 min;['Drama', 'Thriller'];July 2, 2022;;Vanessa Hudgens, Kiersey Clemons, and Alexandra Shipp lead a no-mercy all-femme gang in this edgy thriller.
UFC 276: Adesanya vs. Cannonier;2022;;Genres:;['Sports'];July 2, 2022;;"Israel Adesanya may face his toughest test to date in the form of 185-pound knockout artist Jared Cannonier. Plus, Alexander ""The Great"" Volkanovski and Max Holloway meet for a third time with Volkanovski's featherweight title on the line."
127 Hours;2010;R;94 min;['Drama'];July 1, 2022;;James Franco shines in the fact-based story of rock climber Aron Ralston who was trapped for five days in a desolate canyon.
America's Funniest Home Videos;1981;TV-PG;6 Seasons;['Comedy', 'Family'];July 1, 2022;6.3/10;From practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on ABC pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!
Any Given Sunday;1999;R;151 min;['Drama', 'Sports'];July 1, 2022;7.0/10;Academy Award winner Al Pacino and Cameron Diaz lead a stellar cast in Oscar winner Oliver Stone's hard-hitting homage to the gridiron gladiators of Any Given Sunday.
Are You the One?;2014;TV-14;3 Seasons;['Reality', 'Romance'];July 1, 2022;;"If your perfect match was standing right in front of you, would you even know it? In the most ambitious dating experiment ever attempted, that question will be answered as contestants compete in a series of challenges designed to test the intelligence of their heart. ""Are You The One"" begins by selecting 10 beautiful single women from across the US. Using the most extensive matchmaking process ever seen, 10 men will be found and perfectly matched for these women. But the results aren't revealed to them. Now all 20 people are living together in Hawaii where they share one objective: Find their perfect match. Each week, the group will follow their hearts and lock in a choice of who they think is their perfect match. If all 20 people find their perfect match within 10 tries, they'll all split $1 MILLION!"
Because I Said So;2007;PG-13;101 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;;Diane Keaton stars with Mandy Moore and Lauren Graham in this comedy about a worried mother who meddles in her daughter's love life, doing all the wrong things for all the right reasons.
BELLATOR MMA 245: Machida vs. Davis (R);2021;;Genres:;['Sports'];July 1, 2022;;BELLATOR MMA stars Phil Davis and Lyoto Machida meet in 205-pound action.
Big Trouble in Little China;1986;PG-13;100 min;['Action', 'Adventure', 'Science Fiction'];July 1, 2022;;Kurt Russell tangles with baddies and beauties in John Carpenter's mystical fantasy.
Billboard Dad;1998;G;89 min;['Comedy', 'Family', 'Kids'];July 1, 2022;5.2/10;Two sisters (Mary-Kate Olsen, Ashley Olsen) print a personals ad on a billboard to find a match for their newly single father.
Black Knight;2001;PG-13;96 min;['Adventure', 'Comedy'];July 1, 2022;;Martin Lawrence brings the 'hood into the Middle Ages in this raucous comedy about a theme-park employee who goes back in time.
Bogus;1996;PG;111 min;['Kids'];July 1, 2022;;A boy invents an imaginary friend after his mother dies.
Bohemian Rhapsody;2018;PG-13;135 min;['Drama', 'LGBTQ+', 'Music'];July 1, 2022;;Singer Freddie Mercury defies stereotypes and convention to become one of history's most beloved entertainers. After leaving Queen to pursue a solo career, Mercury reunites with the band for one of the greatest performances in rock 'n' roll history.
Bride Wars;2009;PG;89 min;['Comedy', 'Romance'];July 1, 2022;;Kate Hudson and Anne Hathaway toss a bouquet of riotous tricks at each other when their weddings are set for the same day in this comedy.
Cadillac Records;2008;R;109 min;['Drama', 'Music'];July 1, 2022;;"""Cadillac Records"" is about the rise and fall of Chess Records, which launched the careers of Muddy Waters, Etta James and Chuck Berry."
Closed Circuit;2013;R;96 min;['Action', 'Adventure', 'Drama'];July 1, 2022;;Lawyers defending a terrorist uncover a web of cover-ups and lies after gaining knowledge of the government's classified evidence.
Contraband;2012;R;106 min;['Action', 'Crime'];July 1, 2022;;To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.
Cooks vs. Cons;2016;TV-G;1 Season;['Cooking & Food', 'Family', 'Lifestyle & Culture'];July 1, 2022;5.4/10;Geoffrey Zakarian, a master of modern American cuisine, hosts the next generation of cooking competition, a battle which asks the ultimate question: could a talented home cook beat a pro, or does a true professional have skills that no amateur could match?
Criminal Minds;2005;TV-14;15 Seasons;['Crime', 'Drama', 'Mystery'];July 1, 2022;8.2/10;Criminal Minds revolves around an elite team of FBI profilers who analyze the country's most twisted criminal minds, anticipating their next moves before they strike again.
CSI: Miami;2002;TV-14;5 Seasons;['Crime', 'Drama', 'Mystery'];July 1, 2022;6.3/10;"Inspired by the top-rated series ""CSI: Crime Scene Investigation,"" ""CSI: Miami"" is a drama that follows a South Florida team of forensic investigators who use both cutting-edge scientific methods and old-fashioned police work to solve crimes. Horatio Caine, a former homicide detective, heads a group of investigators who work crimes amid the steamy tropical surroundings and cultural crossroads of Miami. His team includes Calleigh Duquesne, a bilingual Southern beauty with a specialty in ballistics; Eric Delko, an underwater recovery expert who knows all the twists and turns of the Florida waterways, and Ryan Wolfe, a former patrol officer who specializes in blood and trace evidence. Rounding out the team is Natalia Boa Vista, the enigmatic DNA specialist and helping Horatio with cases is Det. Frank Tripp, a tough yet thorough police officer. The newest addition to the team is crime scene photographer Walter Simmons who uses his analytical skills to help Horatio in solving criminal puzzles. Together, these investigators collect and analyze the evidence to solve the crimes and to avenge those who cannot speak for themselves - the victims."
Cutthroat Kitchen;2013;TV-G;11 Seasons;['Cooking & Food', 'Family', 'Lifestyle & Culture'];July 1, 2022;7.3/10;Chefs get $25,000 and chances to spend that money on helping themselves or sabotaging competitors.
Deadly Women;2013;TV-14;7 Seasons;['Crime', 'Documentaries', 'Drama'];July 1, 2022;;Deadly Women investigates the motives and M.O.'s of female murderers. Two experts sift forensic fact from fanciful fiction. Former FBI agent Candice DeLong offers insight into the psychology of female killers, while Dr. Janis Amatuzio, a forensic pathologist, provides commentary on the evidence that Deadly Women leave behind.
Death Race;2008;R;105 min;['Action', 'Adventure', 'Thriller'];July 1, 2022;;Prison inmates get behind the wheel of armament-laden cars to race for freedom – and death – in this gear-grinding remake.
Feud: Bette and Joan;2017;TV-MA;1 Season;['Drama'];July 1, 2022;;A behind-the-scenes look at the making of What Ever Happened to Baby Jane? (1962) and how the feud between screen legends Bette Davis and Joan Crawford all began.
First Knight;1995;PG-13;134 min;['Action', 'Adventure', 'Drama'];July 1, 2022;;A classic romantic triangle develops in Camelot when Lady Guinevere - engaged to King Arthur - falls for the dashing Lancelot in this action-packed version of the English legend.
Ghost Rider;2007;PG-13;123 min;['Action'];July 1, 2022;;Johnny Blaze is a world renowned daredevil by day, but at night, he becomes the Ghost Rider of Marvel Comics legend. The devil's bounty hunter, he is charged with finding evil souls on earth and bringing them to hell.
Godsend;2004;PG-13;102 min;['Horror', 'Thriller'];July 1, 2022;;Grief prompts a shattered couple to accept a brilliant doctor's offer to illegally clone the eight-year-old son they lost.
Heist;2001;R;109 min;['Crime', 'Drama', 'Thriller'];July 1, 2022;;A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.
Hell's Kitchen;2005;TV-14;12 Seasons;['Cooking & Food', 'Family', 'Lifestyle & Culture'];July 1, 2022;7.0/10;An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon Ramsay’s approval and the chance to become America’s next culinary star.
Houseguest;1995;PG;109 min;['Comedy'];July 1, 2022;;A con man poses as a family friend in a Pennsylvania suburb.
Hysteria;2011;R;99 min;['Comedy'];July 1, 2022;;HYSTERIA, a mischievously inspired romantic comedy set in the late 19th century, is based on the surprising truth of how Mortimer Granville came up with the world's first electromechanical vibrator in the name of medical science.
Independence Day;1996;PG-13;145 min;['Action', 'Science Fiction'];July 1, 2022;;When extraterrestrials arrive on Earth and threaten to wipe out the human race, it's up to a handful of survivors - armed only with inferior technology, wits and courage - to stop them.
Insidious;2010;PG-13;100 min;['Horror', 'Thriller'];July 1, 2022;;A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
John Dies at the End;2013;R;100 min;['Comedy', 'Horror', 'Science Fiction'];July 1, 2022;;College dropouts investigate an alien invasion while tripping on a mind-altering street drug in this weird and wild horror-comedy
Joy Ride;2001;R;97 min;['Horror', 'Thriller'];July 1, 2022;;Joy Ride keeps up the necessary level of tension and chills.
Jumanji;1995;PG;104 min;['Action', 'Adventure', 'Comedy'];July 1, 2022;;When two kids play an old magic board game they found, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
Keeping the Faith;2000;PG-13;129 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;;A rabbi and a priest who have been best friends since childhood both fall head over heels for the same woman.
Knock Knock;2015;R;100 min;['Horror', 'Thriller'];July 1, 2022;;A family man's (Keanu Reeves) kind gesture turns into a dangerous seduction and a deadly game of cat and mouse when he opens his door to two stranded young women.
Kung Fu Hustle;2004;R;99 min;['Action', 'Adventure', 'Comedy'];July 1, 2022;;KUNG FU HUSTLE perfectly blends original comedy and explosive martial arts action. Creative and imaginative characters slam together in a comic blend of Quentin Tarantino meets Jackie Chan in a film that goes beyond the limits of mere comedy.
Legend of the Guardians The Owls of Ga'Hoole;2010;PG;97 min;['Action', 'Adventure', 'Family'];July 1, 2022;7.1/10;A courageous owl launches a quest to locate the legendary defenders who can save the owl species in this animated adventure.
Love & Hip Hop Atlanta;2013;TV-14;3 Seasons;['Black Stories', 'Music', 'Reality'];July 1, 2022;5.2/10;Love and Hip Hop: Atlanta has returned for a second season! Back in the Dirty South, Atlanta is the new frontier in entertainment where the opportunity to make it big in the rap game is always one hustle away.
Maid in Manhattan;2002;PG-13;105 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;;A handsome Senate candidate falls for a woman whose elegant dress leads him to believe she's rich - when he discovers she's a hotel maid, they both must cast off the stereoypes in this smooth romantic comedy.
Mary Shelley's Frankenstein;1994;R;123 min;['Horror'];July 1, 2022;;Robert De Niro heads a stellar cast in this electrifying re-creation of the story of a young doctor whose obsession with death leads him to create a new life.
Milk;2008;R;128 min;['Drama', 'LGBTQ+'];July 1, 2022;;Based on the true story, Academy Award® - winner Sean Penn stars in this stirring celebration of Harvey Milk. Peter Travers of Rolling Stone proclaims it “an American classic – 4 stars!”
Money Train;1995;R;110 min;['Action', 'Adventure'];July 1, 2022;;A free-spirited NYC transit cop decides to pay off his gambling debt by robbing the subway train carrying the daily revenue - but will his policeman brother keep him in line? An early role for Jennifer Lopez.
Murder Comes to Town;2014;TV-14;3 Seasons;['Crime'];July 1, 2022;;Shocking murders unfold in small towns, as told by victims' family members, friends and neighbors.
Nim's Island;2008;PG;96 min;['Action', 'Adventure', 'Comedy'];July 1, 2022;;An adventurous girl protects her island home with the help of a fiction writer in this whimsical family film based on the novel.
Obsession: Dark Desires;2014;TV-14;5 Seasons;['Crime', 'Documentaries', 'Mystery'];July 1, 2022;;Obsession: Dark Desires offers intimate access to the emotional scars of those who have suffered as victims of extreme obsession. With their safety and sanity at risk, victims fight to protect themselves and their families from an irrepressible curse.
Passport to Paris;1999;G;87 min;['Comedy', 'Family'];July 1, 2022;4.9/10;Eager to see Paris but tired of their chaperon, identical twins (Ashley Olsen, Mary-Kate Olsen) tour France with two French teenagers.
Poseidon;2006;PG-13;98 min;['Action', 'Adventure', 'Drama'];July 1, 2022;5.8/10;When a rogue wave capsizes a luxury cruise ship in the middle of the North Atlantic Ocean, a small group of survivors find themselves unlikely allies in a battle for their lives.
Que Pena Tu Vida;2010;NOT RATED;94 min;['Comedy', 'Romance'];July 1, 2022;;An insecure, heartbroken guy tries to get back with her last love with the help of his corky friend, taking a path of poor decisions which lead him to understand himself and others.
Rachel Getting Married;2008;R;113 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;;Coming out of yet another substance abuse rehab stint, a struggling young woman returns home for her sister's wedding - can she, and her family, keep it together for a weekend? With Debra Winger.
RuPaul's Drag Race;2011;TV-14;6 Seasons;['Black Stories', 'LGBTQ+', 'Reality'];July 1, 2022;;Drag queens compete to be the last contestant standing.
SBX: Haney vs. Menard;2018;;Genres:;['Sports'];July 1, 2022;;Undefeated lightweight prospect Devin Haney versus veteran Mason Menard.
SCB: Andrade vs. Nelson;2016;;Genres:;['Sports'];July 1, 2022;;Super welterweight Demetrius Andrade vs. Willie Nelson. Classic fight.
School Daze;1988;R;120 min;['Comedy', 'Music'];July 1, 2022;;Spike Lee explores the intricacies of black college life through the sights, sounds and bittersweet memories of homecoming weekend.
Sorry to Bother You;2018;R;111 min;['Black Stories', 'Comedy', 'Science Fiction'];July 1, 2022;6.7/10;In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a macabre universe.
Step Up;2006;PG-13;104 min;['Drama', 'Music', 'Romance'];July 1, 2022;;Channing Tatum stars as a streetwise troublemaker who falls for a ballet student and discovers his own talent for dancing.
Step Up 2: The Streets;2008;PG-13;97 min;['Drama', 'Romance'];July 1, 2022;;Romantic sparks fly between a poor girl and a rich boy when they meet at a Baltimore arts school. Spectacular, showstopping dance sequences propel this foot-stomping good time!
Step Up 3;2010;PG-13;107 min;['Drama', 'Romance'];July 1, 2022;;A group of street dancers find themselves in a high stakes showdown.
Switching Goals;1999;G;84 min;['Comedy', 'Drama', 'Family'];July 1, 2022;5.0/10;Mary-Kate and Ashley Olsen executive produce and star in the rousing comedy of two sisters who hatch the ultimate scheme to find out how their other half lives – by Switching Goals.
Talladega Nights: The Ballad of Ricky Bobby;2006;TV-14;120 min;['Comedy', 'Sports'];July 1, 2022;;Ricky Bobby has always dreamed of driving fast – real fast – like his father, Reese Bobby, who left the family to pursue his racing dreams.
Taxi;2004;PG-13;97 min;['Action', 'Adventure', 'Comedy'];July 1, 2022;;A driving-challenged New York cop teams with a freewheeling cabbie to nab a sexy bank-robbery ring in this remake.
Te Presento a Laura;2010;NOT RATED;90 min;['Comedy', 'Romance'];July 1, 2022;;A young woman embarks on a mission to change an actor's mind about killing himself.
The Challenge;1998;TV-14;3 Seasons;['Action', 'Adventure', 'News'];July 1, 2022;;Real World and Road Rules alumni face off to win their share in cash and prizes. Each season brings new rules, new games, and new drama... let The Challenge begin!
The Descendants;2011;R;115 min;['Comedy', 'Drama'];July 1, 2022;;Hawaiian lawyer George Clooney deals with grief, fatherhood and real estate in the wake of a tragedy in this Oscar(R)-winning drama.
The Expendables;2010;R;120 min;['Action', 'Adventure'];July 1, 2022;6.5/10;The only life they've known is war. The only loyalty they have is to each other. They are the Expendables.
The Expendables 2;2012;R;136 min;['Action', 'Adventure'];July 1, 2022;6.4/10;Barney Ross, Lee Christmas, Yin Yang, Gunner Jensen, Toll Road and Hale Caesar – with newest members Billy the Kid and Maggie aboard – are reunited when Mr. Church enlists the Expendables to take on a seemingly simple job.
The Expendables 3;2014;TV-14;117 min;['Action', 'Adventure'];July 1, 2022;6.3/10;Sylvester Stallone stars in this explosive thrill-ride. When The Expendables face an old rival, it's a clash of old-school versus high-tech in the most personal battle yet.
The Gospel According to André;2017;PG-13;94 min;['Black Stories', 'Documentaries', 'Lifestyle & Culture'];July 1, 2022;;This film chronicles the life and career of former Vogue magazine editor-at-large and fashion icon André Leon Talley.
The Last Circus;2011;R;105 min;['Horror', 'International'];July 1, 2022;;A twisted love triangle evolves into a ferocious battle between a Sad Clown and a Happy Clown, escalating to unbelievable heights in this shocking, irreverent and unforgettable film.
The Last Days on Mars;2013;R;98 min;['Horror', 'Science Fiction', 'Thriller'];July 1, 2022;;The crew of the first-ever manned expedition to Mars makes an astounding discovery on the eve of their return to Earth: fossilized evidence of life on Mars. But the scientific discovery of life might be the death of us all.
The Princess;2022;R;94 min;['Action', 'Adventure', 'Drama'];July 1, 2022;;A beautiful, strong-willed princess refuses to wed the sociopath to whom she is betrothed and is kidnapped and locked in a tower. With her vindictive suitor intent on taking her father’s throne, she must protect her family and save the kingdom.
The Replacement Killers;1998;R;88 min;['Action', 'Adventure', 'Crime'];July 1, 2022;;A professional assassin attempts to break from his violent past.
The Split;2018;TV-MA;3 Seasons;['Drama', 'International', 'Romance'];July 1, 2022;7.8/10;'The Split' explores modern marriage and the legacy of divorce seen through the lens of the Defoes.
The Tourist;2010;TV-PG;97 min;['Action', 'Adventure', 'Crime'];July 1, 2022;5.8/10;Frank, a mild-mannered American on vacation in Venice, Italy, is befriended by Elise, a breathtakingly beautiful woman with a mysterious secret.
The Watch;2012;R;102 min;['Action', 'Adventure', 'Comedy'];July 1, 2022;;Four civic-minded citizens who form a neighborhood watch group uncover an alien plot to destroy Earth.
The Wave;2015;R;105 min;['Action', 'Adventure', 'Drama'];July 1, 2022;6.8/10;Although anticipated, no one is really ready when the mountain pass above the scenic, narrow Norwegian fjord Geiranger collapses and creates an 85-meter high violent tsunami. A geologist is one of those caught in the middle of it.
Urban Legend;1998;R;100 min;['Horror'];July 1, 2022;;A campus serial killer fashions his murders after popular urban myths.
Urban Legends: Bloody Mary;2005;R;93 min;['Horror'];July 1, 2022;;The vengeful spirit of a murdered high school girl gets revenge on jocks.
Urban Legends: Final Cut;2000;R;98 min;['Comedy', 'Drama', 'Horror'];July 1, 2022;;A film set is besieged by a crazed killer recreating mythical slayings.
What's Love Got to Do With It?;1993;TV-14;112 min;['Black Stories', 'Drama'];July 1, 2022;;The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.
Working Girl;1988;R;114 min;['Comedy', 'Drama', 'Romance'];July 1, 2022;7.0/10;A savvy secretary takes over when her boss winds up in the hospital.
2022 World Lacrosse Women's World Championship;2022;;Genres:;['Sports'];June 30, 2022;;Coverage of lacrosse action from Towson, Md.
Every Last Secret;2022;NOT RATED;93 min;['Drama', 'Thriller'];June 30, 2022;;A war veteran suffering from PTSD befriends a teenage girl.
Flawless;2008;PG-13;109 min;['Crime', 'Drama'];June 30, 2022;;Michael Radford (Il Postino and The Merchant of Venice) directs screenwriter Edward Anderson's script about an aging janitor and an American executive who form an unlikely alliance in order to carry out an elaborate jewel heist.
Madagascar: A Little Wild;2020;TV-G;8 Seasons;['Adventure', 'Cartoons', 'Family'];June 30, 2022;5.5/10;Wrapped up in the endearing humor and physical comedy that made the Madagascar movies so popular, Madagascar: A Little Wild is a CG, musical comedy series featuring Alex, Marty, Gloria and Melman as young residents of a rescue habitat in the Central Park Zoo. Like everybody who lands in New York, these kids have big dreams and big plans. The series celebrates being yourself, never giving up, and pursuing your dreams with abandon, no matter the size.
Madagascar: Algo Salvaje;2020;8 Seasons;Genres:;['Action', 'Adventure', 'Family'];June 30, 2022;;"Llena del ingenioso humor y comedia física que hizo tan populares las películas de Madagascar, ""Madagascar: Algo salvaje"" es una serie musical generada por computadora que presenta a Alex, Marty, Gloria y Melman como jóvenes residentes de un hábitat de rescate en el zoológico de Central Park. Como todo el que llega a Nueva York, estos pequeños tienen grandes sueños y grandes planes. La serie se enfoca en ser tú mismo, en jamás rendirte y a perseguir tus sueños a toda costa, pase lo que pase."
Project Bakeover;2021;TV-G;2 Seasons;['Cooking & Food', 'Lifestyle & Culture', 'Reality'];June 30, 2022;;In Project Bakeover renowned pastry chef, master chocolatier and entrepreneur Steve Hodge throws a lifeline to struggling bakery businesses on the brink of losing it all. Drawing on his finely honed chef skills, his passion for desserts and his business acumen, Steve reinvigorates and inspires the desperate bakery owners, while design guru Tiffany Pratt transforms their tired, uninspired bakeries into warm and welcoming spaces. Together they get these businesses turned around and on the road to success.
Wall of Bakers;2022;TV-G;1 Season;['Cooking & Food', 'Lifestyle & Culture', 'Reality'];June 30, 2022;;Four amateur bakers face off in three rounds of competition while being judged by 12 professional bakers.
Hitman: Agent 47;2015;R;97 min;['Action', 'Adventure', 'Crime'];June 29, 2022;5.5/10;A genetically bred assassin joins forces with a young woman to stop a corporation looking to steal the secret of his past.
SCB: Russell vs. Magsayo;2022;;Genres:;['Sports'];June 29, 2022;;Gary Russell Jr. vs. Mark Magsayo. Classic fight.
SCB: Vargas vs. Baez;2021;;Genres:;['Sports'];June 29, 2022;;Rey Vargas vs. Leonardo Baez. Classic fight.
The Gentle Giant;2022;;Genres:;['Drama'];June 29, 2022;;A story of the love between a brother and sister, who despite meeting later in life, build a powerful bond that changes their lives and eventually the world.
One Killer Question;2022;1 Season;Genres:;['Comedy', 'Mystery'];June 28, 2022;;The Only Murders in the Building aftershow that isn't afraid to tackle the hard question. One question. That's it. Featuring host Ali Stroker, the show's actors, a slew of celebrity superfans and one big murder to solve it just might be the only Only Murders In the Building aftershow you need to watch.
